VIN	V(vin)	V(vout)
Step Information: Wn=1µ Wp_ratio=1.5  (Step: 1/14)
0.000000000000000e+00	0.000000e+00	1.200000e+00
1.000000000000000e-02	1.000000e-02	1.200000e+00
2.000000000000000e-02	2.000000e-02	1.200000e+00
3.000000000000000e-02	3.000000e-02	1.200000e+00
4.000000000000000e-02	4.000000e-02	1.200000e+00
5.000000000000000e-02	5.000000e-02	1.200000e+00
6.000000000000000e-02	6.000000e-02	1.200000e+00
7.000000000000001e-02	7.000000e-02	1.200000e+00
8.000000000000000e-02	8.000000e-02	1.200000e+00
9.000000000000000e-02	9.000000e-02	1.200000e+00
1.000000000000000e-01	1.000000e-01	1.200000e+00
1.100000000000000e-01	1.100000e-01	1.200000e+00
1.200000000000000e-01	1.200000e-01	1.200000e+00
1.300000000000000e-01	1.300000e-01	1.200000e+00
1.400000000000000e-01	1.400000e-01	1.200000e+00
1.500000000000000e-01	1.500000e-01	1.200000e+00
1.600000000000000e-01	1.600000e-01	1.200000e+00
1.700000000000000e-01	1.700000e-01	1.200000e+00
1.800000000000000e-01	1.800000e-01	1.200000e+00
1.900000000000000e-01	1.900000e-01	1.200000e+00
2.000000000000000e-01	2.000000e-01	1.200000e+00
2.100000000000000e-01	2.100000e-01	1.200000e+00
2.200000000000000e-01	2.200000e-01	1.200000e+00
2.300000000000000e-01	2.300000e-01	1.200000e+00
2.400000000000000e-01	2.400000e-01	1.200000e+00
2.500000000000000e-01	2.500000e-01	1.200000e+00
2.600000000000000e-01	2.600000e-01	1.200000e+00
2.700000000000000e-01	2.700000e-01	1.200000e+00
2.800000000000000e-01	2.800000e-01	1.200000e+00
2.900000000000000e-01	2.900000e-01	1.200000e+00
3.000000000000000e-01	3.000000e-01	1.200000e+00
3.100000000000000e-01	3.100000e-01	1.200000e+00
3.200000000000000e-01	3.200000e-01	1.200000e+00
3.300000000000000e-01	3.300000e-01	1.200000e+00
3.400000000000000e-01	3.400000e-01	1.200000e+00
3.500000000000000e-01	3.500000e-01	1.200000e+00
3.600000000000000e-01	3.600000e-01	1.200000e+00
3.700000000000000e-01	3.700000e-01	1.200000e+00
3.800000000000000e-01	3.800000e-01	1.200000e+00
3.900000000000000e-01	3.900000e-01	1.200000e+00
4.000000000000000e-01	4.000000e-01	1.200000e+00
4.100000000000000e-01	4.100000e-01	1.199737e+00
4.200000000000000e-01	4.200000e-01	1.198921e+00
4.300000000000000e-01	4.300000e-01	1.197501e+00
4.400000000000000e-01	4.400000e-01	1.195421e+00
4.500000000000000e-01	4.500000e-01	1.192611e+00
4.600000000000000e-01	4.600000e-01	1.188985e+00
4.700000000000000e-01	4.700000e-01	1.184439e+00
4.800000000000000e-01	4.800000e-01	1.178839e+00
4.900000000000000e-01	4.900000e-01	1.172012e+00
5.000000000000000e-01	5.000000e-01	1.163726e+00
5.100000000000000e-01	5.100000e-01	1.153655e+00
5.200000000000000e-01	5.200000e-01	1.141319e+00
5.300000000000000e-01	5.300000e-01	1.125957e+00
5.400000000000000e-01	5.400000e-01	1.106213e+00
5.500000000000000e-01	5.500000e-01	1.079198e+00
5.600000000000001e-01	5.600000e-01	1.034273e+00
